None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
663,AAL,MRQ,2018-06-30,2018-06-30,2018-06-30,2020-02-19,-5187000000,52622000000,,9176000000,43446000000,,-1.856,-716000000,476000000,476000000,5207000000,556000000,0.55,-61.555,24076000000,2213000000,21863000000,24076000000,0,0,0,0.011,0.1,1019000000,1019000000,0.088,1019000000,1019000000,756000000,1.2,1.2,1.2,-869000000,,-869000000,41919074556,12,7.568,378000000,0.807,1.0,6436000000,0.553,6248000000,263000000,53305000000,,1522000000,4381000000,4381000000,0,53491000000,16669000000,36822000000,17771074556,-95000000,0,-376000000,-660000000,-46000000,-1110000000,-79000000,637000000,1094000000,0,556000000,556000000,556000000,0,0,0.048,5432000000,1004000000,2053000000,0.083,-20.45,22.41,21.816,34424000000,0,37.96,0.407,0.407,1941000000,-610000000,11643000000,11643000000,0,,,,,0,3480000000,1.0,468152649,468152649,,24.87,46374000000,1399000000,200000000,0,99.057,-7493000000
664,AAL,MRQ,2018-03-31,2018-03-31,2018-03-31,2020-02-19,-5172000000,53280000000,,9673000000,43607000000,,-2.152,-757000000,591000000,591000000,4706000000,159000000,0.569,-53.338,24739000000,2793000000,21946000000,24739000000,0,0,0,0.008,0.1,500000000,500000000,0.048,500000000,500000000,238000000,0.34,0.34,0.34,-1018000000,,-1018000000,49036285969,12,7.945,1043000000,2.204,1.0,5695000000,0.548,6284000000,262000000,54136000000,,1455000000,4994000000,4994000000,0,54298000000,17008000000,37290000000,24584285969,2000000,0,-461000000,-332000000,-48000000,-842000000,-956000000,-199000000,1800000000,0,159000000,159000000,159000000,0,0,0.015,5299000000,396000000,1953000000,0.294,-24.15,22.329,22.591,34333000000,0,51.96,0.569,0.569,1809000000,-1130000000,10401000000,10401000000,0,,,,,0,3373000000,1.0,473138683,473138683,,21.983,46996000000,1581000000,79000000,0,99.328,-7335000000
665,AAL,MRQ,2017-12-31,2017-12-31,2017-12-31,2020-02-19,-5154000000,52785000000,,9146000000,43639000000,,-1.63,-2145000000,613000000,613000000,4578000000,-583000000,0.596,-68.673,25065000000,2554000000,22511000000,25065000000,0,2017000000,0,0.008,0.1,674000000,2691000000,0.254,2691000000,674000000,408000000,-1.16,-1.15,-1.16,-780000000,,-780000000,48847306768,11,7.556,-1708000000,-3.569,1.0,6033000000,0.569,6294000000,266000000,55585000000,,1359000000,4771000000,4771000000,0,53565000000,15358000000,38207000000,24896306768,-45000000,0,-243000000,379000000,-48000000,75000000,-557000000,1588000000,437000000,0,-583000000,-583000000,-583000000,0,0,-0.055,5394000000,639000000,1688000000,-0.086,-31.918,19.42,19.859,34156000000,0,52.03,0.584,0.584,1752000000,-1345000000,10611000000,10611000000,0,,,,,90000000,3409000000,1.0,478499073,478499073,,22.176,46491000000,1816000000,991000000,0,97.16,-6212000000
666,AAL,MRQ,2017-09-30,2017-09-30,2017-09-30,2020-02-19,-5127000000,52401000000,,10002000000,42399000000,,8.107,-851000000,733000000,733000000,4486000000,661000000,0.653,12.273,24684000000,2467000000,22217000000,24684000000,0,0,0,0.008,0.1,1329000000,1329000000,0.121,1329000000,1329000000,1063000000,1.36,1.36,1.36,3948000000,,3948000000,47047067620,11,7.592,-482000000,-0.99,1.0,6479000000,0.591,6305000000,266000000,54740000000,,1315000000,5428000000,5428000000,0,48453000000,15307000000,33146000000,23128067620,-45000000,0,-359000000,-177000000,-48000000,-599000000,185000000,1036000000,369000000,0,661000000,661000000,661000000,0,0,0.06,5223000000,1256000000,1638000000,0.074,5.858,11.216,11.2,33311000000,0,47.49,0.554,0.554,1700000000,3152000000,10965000000,10965000000,0,,,,,0,3430000000,1.0,487009215,487009215,,22.515,46096000000,538000000,402000000,0,94.651,-5305000000
667,AAL,MRQ,2017-06-30,2017-06-30,2017-06-30,2020-02-19,-5112000000,53336000000,,11016000000,42320000000,,7.542,-1199000000,940000000,940000000,4371000000,864000000,0.684,13.357,24859000000,2334000000,22525000000,24859000000,0,0,0,0.008,0.1,1652000000,1652000000,0.147,1652000000,1652000000,1389000000,1.76,1.75,1.76,3715000000,,3715000000,48413069322,11,7.676,489000000,0.993,1.0,6856000000,0.611,6315000000,263000000,54828000000,,1206000000,6500000000,6500000000,0,49621000000,16112000000,33509000000,24787069322,22000000,0,-529000000,311000000,-51000000,-272000000,-1394000000,-195000000,1688000000,0,864000000,864000000,864000000,0,0,0.077,5257000000,1599000000,1924000000,0.057,6.672,11.594,11.757,32993000000,0,50.32,0.599,0.599,1543000000,2577000000,11227000000,11227000000,0,,,,,0,3413000000,1.0,492588818,492588818,,22.792,47021000000,905000000,525000000,0,95.457,-5096000000
668,AAL,MRQ,2017-03-31,2017-03-31,2017-03-31,2020-02-19,-5097000000,52627000000,,10626000000,42001000000,,6.857,-1682000000,917000000,917000000,4202000000,340000000,0.695,14.223,24543000000,1714000000,22829000000,24543000000,0,0,0,0.009,0.1,792000000,792000000,0.081,792000000,792000000,535000000,0.67,0.67,0.67,3457000000,,3457000000,44709730993,10,6.989,568000000,1.127,1.0,5618000000,0.572,6327000000,257000000,54640000000,,1154000000,6302000000,6302000000,0,49170000000,15286000000,33884000000,21325730993,31000000,0,-484000000,213000000,-51000000,-349000000,-1870000000,-188000000,2250000000,0,340000000,340000000,340000000,0,0,0.035,4881000000,737000000,1882000000,0.149,6.169,9.589,10.048,32291000000,0,42.3,0.526,0.526,1397000000,1823000000,9820000000,9820000000,0,,,,,0,3177000000,1.0,504154397,504154397,,19.478,46300000000,1379000000,195000000,0,91.837,-4660000000
669,AAL,MRQ,2016-12-31,2016-12-31,2016-12-31,2020-02-19,-5083000000,51274000000,,10324000000,40950000000,,7.305,-1395000000,960000000,960000000,4098000000,197000000,0.744,12.547,24344000000,1855000000,22489000000,24344000000,0,1818000000,0,0.009,0.1,606000000,2424000000,0.249,2424000000,606000000,353000000,0.45,0.45,0.45,3785000000,,3785000000,46518263534,9,6.683,-768000000,-1.482,1.0,5653000000,0.58,6264000000,253000000,54522000000,,1094000000,6037000000,6037000000,0,47489000000,13872000000,33617000000,24191263534,-63000000,0,-569000000,1016000000,-52000000,370000000,-1060000000,335000000,627000000,0,197000000,197000000,197000000,0,0,0.02,5110000000,543000000,1592000000,0.222,6.391,9.362,9.976,31159000000,0,46.69,0.603,0.603,1594000000,1640000000,9751000000,9751000000,0,,,,,100000000,3206000000,1.0,518125156,518125156,,18.82,45010000000,1498000000,156000000,0,86.871,-3548000000
670,AAL,MRQ,2016-09-30,2016-09-30,2016-09-30,2020-02-19,-4778000000,51108000000,,11048000000,40060000000,,8.286,-1180000000,1016000000,1016000000,4174000000,737000000,0.76,10.639,23343000000,1798000000,21545000000,23343000000,0,0,0,0.011,0.1,1439000000,1439000000,0.136,1439000000,1439000000,1189000000,1.4,1.4,1.4,4391000000,,4391000000,41160128293,8,6.218,-116000000,-0.219,1.0,6420000000,0.606,6280000000,250000000,52622000000,,1100000000,6374000000,6374000000,0,46717000000,14533000000,32184000000,19400128293,-65000000,0,-695000000,499000000,-53000000,-258000000,-871000000,309000000,1064000000,0,737000000,737000000,737000000,0,0,0.07,4989000000,1431000000,1673000000,0.071,4.418,3.423,3.941,30304000000,0,36.61,0.485,0.485,1703000000,1403000000,10594000000,10594000000,0,,,,,0,3119000000,1.0,529913365,529913365,,19.992,44828000000,1524000000,452000000,0,84.595,-3485000000
671,AAL,MRQ,2016-06-30,2016-06-30,2016-06-30,2020-02-19,-4763000000,51051000000,,11184000000,39867000000,,7.458,-1478000000,1086000000,1086000000,4045000000,950000000,0.75,10.839,22846000000,1715000000,21131000000,22846000000,0,0,0,0.014,0.1,1742000000,1742000000,0.168,1742000000,1742000000,1493000000,1.69,1.68,1.69,4312000000,,4312000000,36926041846,7,5.194,735000000,1.271,1.0,6318000000,0.61,6304000000,249000000,51590000000,,999000000,6672000000,6672000000,0,46739000000,14917000000,31822000000,16368041846,-49000000,0,-1711000000,1169000000,-58000000,-605000000,-1657000000,-179000000,2213000000,0,950000000,950000000,950000000,0,0,0.092,4567000000,1751000000,1944000000,0.059,3.796,2.471,2.709,29611000000,0,28.31,0.408,0.408,1593000000,719000000,10363000000,10363000000,0,,,,,0,3004000000,1.0,578171736,578171736,,17.924,44747000000,1965000000,543000000,0,77.394,-3733000000
672,AAL,MRQ,2016-03-31,2016-03-31,2016-03-31,2020-02-19,-4749000000,49909000000,,10802000000,39107000000,,7.811,-1553000000,1186000000,1186000000,3608000000,700000000,0.707,9.596,21744000000,2610000000,19134000000,21744000000,0,0,0,0.01,0.1,1356000000,1356000000,0.144,1356000000,1356000000,1117000000,1.15,1.14,1.15,4710000000,,4710000000,44205768795,8,6.048,1067000000,1.769,1.0,5827000000,0.618,6327000000,239000000,48863000000,,886000000,6435000000,6435000000,0,45199000000,15277000000,29922000000,24729768795,105000000,0,-1525000000,1190000000,-61000000,-401000000,-2114000000,-561000000,2620000000,0,700000000,700000000,700000000,0,0,0.074,4492000000,1335000000,1913000000,0.087,5.25,3.352,3.652,28633000000,0,41.01,0.609,0.609,1450000000,-591000000,9435000000,9435000000,0,,,,,0,2960000000,1.0,603018015,603018015,,15.646,43582000000,2072000000,417000000,0,72.273,-4475000000
673,AAL,MRQ,2015-12-31,2015-12-31,2015-12-31,2020-02-19,-4732000000,48415000000,,9985000000,38430000000,,8.94,-1518000000,1085000000,1085000000,3948000000,3281000000,0.734,7.592,20561000000,2231000000,18330000000,20561000000,0,1609000000,0,0.009,0.1,474000000,2083000000,0.216,2083000000,474000000,245000000,5.05,4.9,5.05,5635000000,,5635000000,45529286577,8,6.408,-1290000000,-2.047,1.0,5682000000,0.59,6340000000,229000000,47946000000,,863000000,5864000000,5864000000,0,42780000000,13605000000,29175000000,26694286577,-626000000,0,-1435000000,214000000,-72000000,-1292000000,438000000,1956000000,228000000,0,3281000000,3281000000,3281000000,0,0,0.341,4614000000,1068000000,1563000000,0.02,4.737,3.508,3.718,27510000000,0,42.35,0.651,0.651,1425000000,-1230000000,9630000000,9630000000,0,,,,,284000000,2726000000,1.0,630325539,630325539,,15.278,42075000000,2477000000,-3036000000,0,66.751,-3620000000
674,AAL,MRQ,2015-09-30,2015-09-30,2015-09-30,2020-02-19,-4651000000,48715000000,,13706000000,35009000000,,5.6,-1481000000,1726000000,1726000000,4307000000,1693000000,0.968,11.949,20561000000,1712000000,18849000000,20561000000,0,0,0,0.01,0.1,1928000000,1928000000,0.18,1928000000,1928000000,1709000000,2.56,2.49,2.56,3762000000,,3762000000,43181792966,7,5.897,-301000000,-0.448,1.0,6399000000,0.598,6352000000,219000000,47037000000,,1010000000,7857000000,7857000000,0,44953000000,14161000000,30792000000,26086792966,64000000,0,-1480000000,1753000000,-66000000,221000000,-1337000000,144000000,1180000000,0,1693000000,1693000000,1693000000,0,0,0.158,4400000000,1999000000,1525000000,0.039,6.934,5.296,5.378,26292000000,0,38.83,0.628,0.628,1828000000,-4445000000,10706000000,10706000000,0,,,,,0,2770000000,1.0,671820576,671820576,,15.936,42363000000,0,16000000,0,63.057,-455000000
675,AAL,MRQ,2015-06-30,2015-06-30,2015-06-30,2020-02-19,-4620000000,47868000000,,14109000000,33759000000,,5.248,-1712000000,1699000000,1699000000,4600000000,1704000000,0.938,12.165,18794000000,1642000000,17152000000,18794000000,0,0,0,0.01,0.1,1942000000,1942000000,0.179,1942000000,1942000000,1719000000,2.47,2.41,2.47,3636000000,,3636000000,44783922115,9,6.833,635000000,0.917,1.0,6227000000,0.575,6365000000,223000000,43553000000,,1069000000,7967000000,7967000000,0,44232000000,15045000000,29187000000,27666922115,-96000000,0,-750000000,-131000000,-70000000,-950000000,-1493000000,219000000,2347000000,0,1704000000,1704000000,1704000000,0,0,0.157,4306000000,1921000000,1683000000,0.04,7.609,6.627,6.689,25288000000,0,39.935,0.659,0.659,1892000000,-6070000000,10827000000,10827000000,0,,,,,0,2714000000,1.0,692798851,692798851,,15.628,41503000000,0,15000000,0,59.906,-936000000
676,AAL,MRQ,2015-03-31,2015-03-31,2015-03-31,2020-02-19,-4590000000,46754000000,,14129000000,32625000000,,3.968,-1405000000,1805000000,1805000000,4225000000,932000000,0.993,15.915,18922000000,1284000000,17638000000,18922000000,0,0,0,0.006,0.1,1153000000,1153000000,0.117,1153000000,1153000000,943000000,1.34,1.3,1.34,2764000000,,2764000000,52905179083,12,8.774,1089000000,1.563,1.0,5602000000,0.57,6372000000,210000000,43266000000,,995000000,8125000000,8125000000,0,43990000000,14233000000,29757000000,36769179083,54000000,0,-181000000,1020000000,-70000000,762000000,-3202000000,-1797000000,2494000000,0,932000000,932000000,932000000,0,0,0.095,4386000000,1216000000,1587000000,0.075,13.303,11.025,11.23,24042000000,0,52.78,0.866,0.866,1826000000,-7702000000,9827000000,9827000000,0,,,,,0,2709000000,1.0,696649850,696649850,,14.106,40382000000,0,11000000,0,57.966,-104000000
677,AAL,ARY,2019-12-31,2020-02-19,2019-12-31,2020-02-19,-6331000000,59995000000,60981000000.0,8206000000,51789000000,0.751,-0.277,-4214000000,438000000,438000000,20788000000,1686000000,0.448,-509.432,33444000000,4569000000,28875000000,33444000000,0,2318000000,0,0.014,0.4,3351000000,5669000000,0.124,5669000000,3351000000,2256000000,3.8,3.79,3.8,-118000000,-154000000.0,-118000000,45204061841,13,7.974,-399000000,-0.936,1.0,24980000000,0.546,6175000000,1095000000,68515000000,68879250000.0,1851000000,3546000000,3546000000,0,60113000000,18311000000,41802000000,12198061841,4000000,0,-1097000000,-230000000,-178000000,-1568000000,-2243000000,1807000000,3815000000,0,1686000000,1686000000,1686000000,0,0,0.037,21915000000,3065000000,2062000000,0.105,-103.373,7.235,7.534,43732000000,0,28.63,0.267,0.267,1750000000,2264000000,45768000000,45768000000,0,0.028,-10.948,0.049,0.073,94000000,14211000000,1.0,426058744,426058744,,107.422,53820000000,645000000,570000000,0,126.321,-10105000000
678,AAL,ARY,2018-12-31,2019-02-25,2018-12-31,2020-02-19,-5274000000,60580000000,54779250000.0,8637000000,51943000000,0.813,-0.376,-2538000000,429000000,429000000,20400000000,1412000000,0.477,-359.462,34029000000,4948000000,29081000000,34029000000,0,2159000000,0,0.011,0.4,2940000000,5099000000,0.114,5099000000,2940000000,1884000000,3.04,3.03,3.04,-169000000,-656000000.0,-169000000,49721094173,17,9.751,995000000,2.216,1.0,24141000000,0.542,6228000000,1056000000,69856000000,57914000000.0,1522000000,4485000000,4485000000,0,60749000000,18096000000,42653000000,16121094173,-112000000,0,-837000000,-587000000,-186000000,-1672000000,-1973000000,572000000,3533000000,0,1412000000,1412000000,1412000000,0,0,0.032,21485000000,2656000000,1773000000,0.132,-95.391,11.417,11.809,43249000000,0,35.9,0.362,0.362,1706000000,136000000,44541000000,44541000000,0,0.026,-2.152,0.051,0.066,86000000,13771000000,1.0,449055548,449055548,,99.188,54352000000,1145000000,472000000,0,121.036,-9459000000
